id,name,normalized_name,gender
3376,Astronaut Pitchman,astronaut pitchman,
3377,Wino,wino,
3378,Council Members,council members,
3379,Money Changer,money changer,
3380,Ghostly Voice,ghostly voice,
3381,Richard Gere,richard gere,
3382,Strom Thurmond,strom thurmond,
3383,Ralph Nader,ralph nader,
3384,Dracula,dracula,
3385,Bob Dole,bob dole,
3386,Environmentalist,environmentalist,
3387,Spotted Owl,spotted owl,
3388,Other Students,other students,
3389,Cougar,cougar,
3390,Overweight Man,overweight man,
3391,PEOPLE IN THE PYRAMID,people in the pyramid,
3392,People In Pyramid,people in pyramid,
3393,CEO,ceo,
3394,MOTHERLOVING,motherloving,
3395,Lawyers,lawyers,
3396,Dia-Betty,dia-betty,
3397,ELECTRONICALLY-ALTERED VOICE,electronically-altered voice,
3398,Count Fudge-ula,count fudge-ula,
3399,Sugar Dealer,sugar dealer,
3400,Two Male Marchers,two male marchers,
3401,Marcher,marcher,
3402,Lesbians,lesbians,
3403,Gay Man,gay man,
3404,Duck,duck,
3405,Justin,justin,
3406,Soccer Mummy,soccer mummy,
3407,Teenage Soccer Player,teenage soccer player,
3408,Announcer #3,announcer 3,
3409,Teenage Usher #1,teenage usher 1,
3410,Teenage Usher #2,teenage usher 2,
3411,Society Man,society man,
3412,'Barbara Walters',barbara walters,
3413,'Joy Behar',joy behar,
3414,Gen X Girl,gen x girl,
3415,'Star Jones',star jones,
3416,Professor Van Doren,professor van doren,
3417,Derby Announcer,derby announcer,
3418,Beer Vendor,beer vendor,
3419,Derby Announcer #1,derby announcer 1,
3420,'Kristen Davis',kristen davis,
3421,'Kim Catrall',kim catrall,
3422,'Sarah Jessica Parker',sarah jessica parker,
3423,Taxi Driver,taxi driver,
3424,German Baron,german baron,
3425,Dinosaur Doll,dinosaur doll,
3426,One-armed Man,one-armed man,
3427,Ant,ant,
3428,Helicopter Cop,helicopter cop,
3429,Headmaster,headmaster,
3430,Headmaster's Wife,headmasters wife,
3431,Wolfgang Puck,wolfgang puck,
3432,Little Rich Boy,little rich boy,
3433,Greta Wolfcastle,greta wolfcastle,
3434,Snobby Bully #1,snobby bully 1,
3435,Snobby Bully #2,snobby bully 2,
3436,Lookalike,lookalike,
3437,Teenage Waiter,teenage waiter,
3438,Tram Driver,tram driver,
3439,Bully #1,bully 1,
3440,Bully #2,bully 2,
3441,Canadian Player,canadian player,
3442,Ostrich,ostrich,
3443,COWBOY,cowboy,
3444,Sad Cowboy,sad cowboy,
3445,Bank Robber,bank robber,
3446,Grampa's Recorded Voice,grampas recorded voice,
3447,Zelda,zelda,
3448,Elderly Ladies,elderly ladies,
3449,OLD MEN,old men,
3450,Black Best Friend,black best friend,
3451,DISTINGUISHED VOICE,distinguished voice,
3452,HISPANIC GENTLEMAN,hispanic gentleman,
3453,1940S ANNOUNCER,1940s announcer,
3454,Revue Cast Members,revue cast members,
3455,Charo,charo,
3456,'RAY JAY JOHNSON,JR.',
3457,Charlie Callas,charlie callas,
3458,Yakov Smirnov,yakov smirnov,
3459,Audience Members,audience members,
3460,CHARRO,charro,
3461,Dionysus Barney,dionysus barney,
3462,SEA CAPTAIN/POSEIDON,sea captainposeidon,
3463,SEA CAPTAIN/POSEIDON CLOUD,sea captainposeidon cloud,
3464,Sirens,sirens,
3465,Crewmembers,crewmembers,
3466,Discus Stu,discus stu,
3467,Greek Sailors,greek sailors,
3468,Circe,circe,
3469,Lenny Pig,lenny pig,
3470,Dead Souls,dead souls,
3471,Other Suitors,other suitors,
3472,Goose,goose,
3473,Catapult Man,catapult man,
3474,French Army,french army,
3475,Pie #3,pie 3,
3476,BUCK,buck,male
3477,Zack,zack,male
3478,Gabriel,gabriel,male
3479,English Soldier,english soldier,
3480,English Soldier #1,english soldier 1,
3481,English Soldier #2,english soldier 2,
3482,Judge Lovejoy,judge lovejoy,
3483,Courtroom Audience,courtroom audience,
3484,Hamlet Bart,hamlet bart,
3485,Court,court,
3486,Viking,viking,
3487,Guilden-Lenny,guilden-lenny,
3488,Rosen-Carl,rosen-carl,
3489,Man In The Moon,man in the moon,
3490,Female Robot,female robot,
3491,Mr. Movie Phone,mr movie phone,
3492,Telemarketer,telemarketer,
3493,Ronaldo,ronaldo,
3494,Sexy Blonde Woman,sexy blonde woman,
3495,PINEAPPLE MAN,pineapple man,
3496,FLAMINGO,flamingo,
3497,Lifeguard,lifeguard,
3498,Potato,potato,
3499,Crows,crows,
3500,Present-Day Homer,present-day homer,
3501,Trey Anastasio,trey anastasio,
3502,Page McConnell,page mcconnell,
3503,Jon Fishman,jon fishman,
3504,SOME AUDIENCE MEMBERS,some audience members,
3505,Mike Gordon,mike gordon,
3506,Pete,pete,
3507,Seamus,seamus,
3508,Booking Agent,booking agent,
3509,Mr. Blackwell,mr blackwell,
3510,Jenkins,jenkins,
3511,Danger Dog,danger dog,
3512,Stan Lee,stan lee,
3513,Stegosaurus,stegosaurus,
3514,Todd Linux,todd linux,
3515,Bin Laden,bin laden,
3516,Lou Rawls,lou rawls,
3517,Voice Actor,voice actor,
3518,Cartoon Bart,cartoon bart,
3519,Passersby,passersby,
3520,Paperboy,paperboy,
3521,Milkman,milkman,
3522,Piano Lady,piano lady,
3523,Squishee Lady,squishee lady,
3524,Tom Brokaw,tom brokaw,
3525,Dream Squishee Lady,dream squishee lady,
3526,James Lipton,james lipton,
3527,Delivery Guy,delivery guy,
3528,Divorce Lawyer,divorce lawyer,
3529,Sashi,sashi,
3530,Pria,pria,
3531,Uma,uma,
3532,Sandeep,sandeep,
3533,Nabendu,nabendu,
3534,Gheet,gheet,
3535,Deliveryman,deliveryman,
3536,Ms. Pommelhorst,ms pommelhorst,
3537,Liberace Doll,liberace doll,
3538,Carrie,carrie,
3539,Tina,tina,
3540,Robert Pinsky,robert pinsky,
3541,Student #1,student 1,
3542,Student #2,student 2,
3543,Glue-bottle Cow,glue-bottle cow,
3544,Student #3,student 3,
3545,Student #4,student 4,
3546,CATERPILLAR,caterpillar,
3547,Screamapillar,screamapillar,
3548,Homer Devil,homer devil,
3549,Homer Angel,homer angel,
3550,VOICE OVER MEGAPHONE,voice over megaphone,
3551,Mrs. Bellamy,mrs bellamy,
3552,LADIES,ladies,
3553,Prison Warden,prison warden,
3554,'Michael Clark Duncan',michael clark duncan,
3555,Executioner,executioner,
3556,Man With Braces,man with braces,
3557,Carmen Electra,carmen electra,
3558,Butterfly,butterfly,
3559,Fonzie,fonzie,
3560,Arnie,arnie,
3561,Looters,looters,
3562,Beatnik,beatnik,
3563,Monster,monster,
3564,Newsie,newsie,
3565,Otis,otis,
3566,Other Gangsters,other gangsters,
3567,Maude Ghost,maude ghost,
3568,Demon Maude,demon maude,
3569,Peddler,peddler,
3570,Homer Double,homer double,
3571,Doubles,doubles,
3572,HOMER DOUBLES,homer doubles,
3573,TRACEY ULLMAN SHOW HOMER,tracey ullman show homer,
3574,Farmer Gil,farmer gil,
3575,Army General,army general,
3576,Air Force General,air force general,
3577,WILLIAM BONNEY,william bonney,
3578,WILLIAM BONNEY/BILLY THE KID,william bonneybilly the kid,
3579,BILLY THE KID,billy the kid,
3580,Sundance Kid,sundance kid,
3581,Frank James,frank james,
3582,Kaiser,kaiser,
3583,Future Homer,future homer,
3584,Turkey Frink,turkey frink,
3585,Panther Marge,panther marge,
3586,Cow Flanders,cow flanders,
3587,Ralph Peacock,ralph peacock,
3588,Comic Book Ram,comic book ram,
3589,Pig Wiggum,pig wiggum,
3590,Owl Lisa,owl lisa,
3591,Alligator Sea Captain,alligator sea captain,
3592,Fox Burns,fox burns,
3593,LISA OWL,lisa owl,
3594,Spider Bart,spider bart,
3595,Disco Shrew,disco shrew,
3596,Other Manimals,other manimals,
3597,Walrus Homer,walrus homer,
3598,Cab Driver,cab driver,
3599,Network Announcer,network announcer,
3600,Female Cab Driver,female cab driver,
3601,Drunk Homer,drunk homer,
3602,Keith Richards,keith richards,
3603,Elvis Costello,elvis costello,
3604,Lenny Kravitz,lenny kravitz,
3605,'Kenny Loggins',kenny loggins,
3606,Brian Setzer,brian setzer,
3607,Tom Petty,tom petty,
3608,GROUPIES,groupies,
3609,Rock Stars,rock stars,
3610,Salvadoran Rebel,salvadoran rebel,
3611,'Jeff Probst',jeff probst,
3612,Rhino,rhino,
3613,Male Game Show Host,male game show host,
3614,Race Track Announcer,race track announcer,
3615,Japanese Joey,japanese joey,
3616,Japanese Phoebe,japanese phoebe,
3617,Clock Announcer,clock announcer,
3618,Robot #1,robot 1,
3619,Robot #2,robot 2,
3620,Clown,clown,
3621,Characters,characters,
3622,M.C. Safety,mc safety,
3623,Caution Crew Member,caution crew member,
3624,Third-grade Class,third-grade class,
3625,Third-grade Girl,third-grade girl,
3626,Teenagers,teenagers,
3627,Senate Chairman,senate chairman,
3628,Governor Mary Bailey,governor mary bailey,
3629,Homeless Man,homeless man,
3630,Mountain Man,mountain man,
3631,Grandpappy,grandpappy,
3632,Mountain Woman,mountain woman,
3633,Spanish Man,spanish man,
3634,Kid Announcer,kid announcer,
3635,BAJA MEN,baja men,
3636,LINDSAY/COOKIE,lindsaycookie,
3637,Television,television,
3638,Clownface,clownface,
3639,Chief O'Hara,chief ohara,
3640,Veterans,veterans,
3641,Head Veteran,head veteran,
3642,Angelo,angelo,
3643,All Men,all men,
3644,Kiki,kiki,
3645,Shoe Buyer #1,shoe buyer 1,
3646,Shoe Buyer #2,shoe buyer 2,
3647,Stampy,stampy,
3648,Baha Men,baha men,
3649,Larry Holmes,larry holmes,
3650,Gummy Sue,gummy sue,
3651,Kozlov,kozlov,
3652,Termites,termites,
3653,Exterminator,exterminator,
3654,Bran Producers,bran producers,
3655,Bran Producer #1,bran producer 1,
3656,Bran Producer #2,bran producer 2,
3657,Mitch,mitch,
3658,David Lander,david lander,
3659,BEARDED MAN,bearded man,
3660,Female Castaway,female castaway,
3661,Sad Man,sad man,
3662,Reality Show Tribe,reality show tribe,
3663,Cameraman #1,cameraman 1,
3664,Cameraman #2,cameraman 2,
3665,Cop #1,cop 1,
3666,Cop #2,cop 2,
3667,Masseur,masseur,
3668,ASIAN MASSEUSE,asian masseuse,
3669,Yoga Master,yoga master,
3670,Man With Mustache,man with mustache,
3671,HOMER THOUGHTS,homer thoughts,
3672,Roommate,roommate,
3673,Decapitating Harry,decapitating harry,
3674,High-tech Cell,high-tech cell,
3675,Junior,junior,
3676,Man Dressed As Jester,man dressed as jester,
3677,Reveler,reveler,
3678,SIX-YEAR-OLD GRAMPA,six-year-old grampa,
3679,Judge #2,judge 2,
3680,Judge #1,judge 1,
3681,Judge #3,judge 3,
3682,'Robin Williams',robin williams,
3683,Committee Chairman,committee chairman,
3684,Sad Whiny Voice,sad whiny voice,
3685,Animatronic Gay Men,animatronic gay men,
3686,Riders,riders,
3687,RIDER,rider,
3688,Robot Mother,robot mother,
3689,Maniacal-looking Teacher,maniacal-looking teacher,
3690,Mick Jagger,mick jagger,male
3691,Cookie Kwan,cookie kwan,female
3692,Little Richard,little richard,
3693,Skinner's Thoughts,skinners thoughts,
3694,Mrs. Skinner's Thoughts,mrs skinners thoughts,
3695,Cartoon Mouse Voice,cartoon mouse voice,
3696,FEMALE MTV V.J.,female mtv vj,
3697,Elliott Gould,elliott gould,
3698,Girl's Thoughts,girls thoughts,
3699,Bully,bully,
3700,Turbo Diary,turbo diary,
3701,Movie Narrator,movie narrator,
3702,FLANDERS' VOICE,flanders voice,
3703,Space Frog,space frog,
3704,ASTRONAUT VOICE,astronaut voice,
3705,Sheriff Lisa,sheriff lisa,
3706,HEAD PROTESTER,head protester,
3707,Giuseppe,giuseppe,
3708,MISS SEPTEMBER,miss september,
3709,Scary Voice,scary voice,
3710,SCARY MAN,scary man,
3711,Mugger,mugger,
3712,Cheap Girlfriend,cheap girlfriend,
3713,Ruth Powers,ruth powers,
3714,Sonya,sonya,
3715,Lisa Leslie,lisa leslie,
3716,SWISH,swish,
3717,'David McCullough',david mccullough,
3718,'Ken Burns',ken burns,
3719,Skating Announcer,skating announcer,
3720,Tanker Driver,tanker driver,
3721,Aa Group,aa group,
3722,Bowler,bowler,
3723,Bowling Teammates,bowling teammates,
3724,Booming Voice,booming voice,
3725,Buddha,buddha,
3726,Walter Cronkite,walter cronkite,
3727,Ornette Coleman,ornette coleman,
3728,Furbies,furbies,
3729,Balki,balki,
3730,Happy Face,happy face,
3731,Uwa,uwa,
3732,Stenographer,stenographer,
3733,Tony Hawk,tony hawk,
3734,Tom DeLonge,tom delonge,
3735,Mark Hoppus,mark hoppus,
3736,Travis Barker,travis barker,
3737,Event Announcer,event announcer,
3738,Commercial Actress,commercial actress,
3739,60-Year-Old Nelson,60-year-old nelson,
3740,Booberella,booberella,
3741,Frankenstein,frankenstein,
3742,GRAVELLY MALE SINGER,gravelly male singer,
3743,Truck Commercial Announcer,truck commercial announcer,
3744,Rib-It,rib-it,
3745,Lisa's Cheering Section,lisas cheering section,
3746,Barnard,barnard,
3747,Radcliffe,radcliffe,
3748,Wellesley,wellesley,
3749,Mount Holyoke,mount holyoke,
3750,Vassar,vassar,
3751,Smith,smith,
3752,Bryn Mawr,bryn mawr,
3753,Seven Sisters,seven sisters,
3754,Real Lisa,real lisa,
3755,Ribhead,ribhead,
3756,Ribhead #2,ribhead 2,
3757,Italian Man,italian man,
3758,Sun Moon,sun moon,
3759,Hibbert Boy,hibbert boy,
3760,Big Band Singer,big band singer,
3761,Irish Cop,irish cop,
3762,REPORTER CLETUS,reporter cletus,
3763,James L. Brooks,james l brooks,
3764,Helen Fielding,helen fielding,
3765,MOE HOWARD,moe howard,
3766,Airport Official,airport official,
3767,Republicans,republicans,
3768,Armstrong,armstrong,
3769,Jet Pilot,jet pilot,
3770,Fox News Anchor,fox news anchor,
3771,Southern Congressman,southern congressman,
3772,Elderly Congressman,elderly congressman,
3773,Committee Member,committee member,
3774,Committee Member #2,committee member 2,
3775,Congressperson,congressperson,
3776,Sgt. At Arms,sgt at arms,
3777,Speaker Of The House,speaker of the house,
3778,House Members,house members,
3779,Mouse Paramedic,mouse paramedic,
3780,Nuts & Bolts,nuts bolts,
3781,Terrence,terrence,
3782,First Worker,first worker,
3783,Capitol Dome,capitol dome,
3784,Nuclear Inspector,nuclear inspector,
3785,Animated Skinner,animated skinner,
3786,Sad Voice,sad voice,
3787,Hobby Shop Guy,hobby shop guy,
3788,Astronomer,astronomer,
3789,MALE COMPUTER VOICE,male computer voice,
3790,Angry Mob,angry mob,
3791,Pies,pies,
3792,Sara Sloane,sara sloane,female
3793,George Plimpton,george plimpton,male
3794,Colt,colt,male
3795,Stark Richdale,stark richdale,male
3796,Jimmy the Snitch,jimmy the snitch,
3797,PUZZLE LENNY,puzzle lenny,
3798,Bachelors,bachelors,
3799,Stylist,stylist,
3800,Lesbian,lesbian,
3801,Large Gay Man,large gay man,
3802,Weird Al,weird al,
3803,Black Knight,black knight,
3804,King,king,
3805,Young Dr. Hibbert,young dr hibbert,
3806,David Byrne,david byrne,
3807,William Shatner,william shatner,
3808,Wrangler #1,wrangler 1,
3809,Wrangler #2,wrangler 2,
3810,Luke,luke,
3811,Cleanie,cleanie,
3812,Native American,native american,
3813,Clara,clara,
3814,Native American Woman,native american woman,
3815,Brave,brave,
3816,Owl,owl,
3817,Rabbit,rabbit,
3818,Elk,elk,
3819,Dry Cleaner,dry cleaner,
3820,Man With Sack,man with sack,
3821,Man With Plow,man with plow,
3822,Rin Tin Tin,rin tin tin,
3823,H.K. Duff,hk duff,
3824,American Astronaut,american astronaut,
3825,Russian Astronaut,russian astronaut,
3826,Astronauts,astronauts,
3827,Les,les,
3828,'REGIS',regis,
3829,SUDS MCDUFF,suds mcduff,
3830,Derelicts,derelicts,
3831,Parasailer #1,parasailer 1,
3832,Parasailer #2,parasailer 2,
3833,Male Narrator,male narrator,
3834,Female Tour Guide,female tour guide,
3835,Female,female,
3836,Southern Woman,southern woman,
3837,Woman's Daughter,womans daughter,
3838,Armando,armando,
3839,Tv Chef,tv chef,
3840,Grouchy Old Man,grouchy old man,
3841,Sweet Old Lady,sweet old lady,
3842,Peruvian Frogs,peruvian frogs,
3843,Steve Buscemi,steve buscemi,
3844,Turks,turks,
3845,Marriage Counselor,marriage counselor,
3846,Jackson Browne,jackson browne,
3847,Busboys,busboys,
3848,Farty,farty,
3849,'O.J.',oj,
3850,Pax Announcer,pax announcer,
3851,Silver-haired Woman,silver-haired woman,
3852,Jim Proudfoot,jim proudfoot,
3853,Junior Dandy Chief,junior dandy chief,
3854,Venus Flytrap,venus flytrap,
3855,Beautiful Woman,beautiful woman,
3856,'Jethro',jethro,
3857,'Granny',granny,
3858,Hot Woman,hot woman,
3859,Elmo,elmo,
3860,Godfather,godfather,
3861,Homer Doll,homer doll,
3862,Don Castellaneta,don castellaneta,
3863,Younger Mobster,younger mobster,
3864,Death,death,
3865,Frankie the Squealer,frankie the squealer,
3866,Swedish Scientist,swedish scientist,
3867,Young Professor Frink,young professor frink,
3868,Jennifer Garner,jennifer garner,
3869,Dudley Herschbach,dudley herschbach,
3870,Oscar De La Hoya,oscar de la hoya,
3871,Fbi Agent,fbi agent,
3872,Asian Woman,asian woman,
3873,Federal Agent,federal agent,
3874,Female Prisoners,female prisoners,
3875,Second Prisoner,second prisoner,
3876,Prison Bus Driver,prison bus driver,
3877,Other Prisoners,other prisoners,
3878,First Prisoner,first prisoner,
3879,French Teacher,french teacher,
3880,Michael Moore,michael moore,
3881,Boy Student,boy student,
3882,Dad #2,dad 2,
3883,Alien Rock Band,alien rock band,
3884,Museum-goers,museum-goers,
3885,Edwina,edwina,
3886,Tony Blair,tony blair,
3887,English Gentleman,english gentleman,
3888,Concierge,concierge,
3889,J.K. Rowling,jk rowling,
3890,Squeaky-Voiced British Teen,squeaky-voiced british teen,
3891,'Judi Dench',judi dench,
3892,Gentleman #1,gentleman 1,
3893,GENTLEMAN #2,gentleman 2,
3894,Lord Daftwager,lord daftwager,
3895,Evan Marriott,evan marriott,
3896,Sir Ian McKellen,sir ian mckellen,
3897,Deep British Voice,deep british voice,
3898,Courtroom,courtroom,
3899,Young Girl In Crowd,young girl in crowd,
3900,Frink Senior,frink senior,male
3901,Grady,grady,male
3902,Second Guard,second guard,
3903,Sparkly Elves,sparkly elves,
3904,Madonna,madonna,
3905,HOMER-ISH WOMAN'S VOICE,homer-ish womans voice,
3906,Abbey,abbey,
3907,Cucumber Moses,cucumber moses,
3908,Candy Ball,candy ball,
3909,Grant Connor,grant connor,
3910,'Care Bear',care bear,
3911,Prostitute,prostitute,
3912,2nd Peddler,2nd peddler,
3913,1st Construction Worker,1st construction worker,
3914,2nd Construction Worker,2nd construction worker,
3915,Ultrasound Woman,ultrasound woman,
3916,Jeremy,jeremy,
3917,Diane,diane,
3918,Beach Boys Experience,beach boys experience,
3919,Curb Re-painter,curb re-painter,
3920,Kathy,kathy,
3921,Holiday Special Announcer,holiday special announcer,
3922,Soulful Prune,soulful prune,
3923,Classy Clerk,classy clerk,
3924,Talking Astrolabe,talking astrolabe,
3925,REDNECK RADIO DJ,redneck radio dj,
3926,Country Singer,country singer,
3927,BACKUP SINGERS,backup singers,
3928,ASTROLABE,astrolabe,
3929,Jimmy Stewart Puppet,jimmy stewart puppet,
3930,Cartoon Announcer,cartoon announcer,
3931,Mr. McGrew,mr mcgrew,
3932,Bob Cratchett,bob cratchett,
3933,Ghost Of Xmas Past,ghost of xmas past,
3934,Sitcom Character,sitcom character,
3935,Ebenezer Urkel,ebenezer urkel,
3936,'Mr. Sulu',mr sulu,
3937,'Mr. Scott',mr scott,
3938,Pregnant Woman,pregnant woman,
3939,Wildlife Host,wildlife host,
3940,'HANK HILL',hank hill,
3941,Gerbil,gerbil,
3942,Kids Chorus,kids chorus,
3943,Helpful Bear,helpful bear,
3944,Concert Announcer,concert announcer,
3945,Tinky Winky,tinky winky,
3946,Concert Crowd,concert crowd,
3947,Kid Crowd,kid crowd,
3948,Afghani Man,afghani man,
3949,Most Of Crowd,most of crowd,
3950,Speak 'n' Spell,speak n spell,
3951,Perverts,perverts,
3952,Tobacco Lobbyist,tobacco lobbyist,
3953,Mother On Ad,mother on ad,
3954,Actress In Blue Wig,actress in blue wig,
3955,'Yeeeessss' Man,yeeeessss man,
3956,Bike Guy,bike guy,
3957,Macho Tv Announcer,macho tv announcer,
3958,ROBOT WARS ANNOUNCER #2,robot wars announcer 2,
3959,ROBOT WARS ANNOUNCER #1,robot wars announcer 1,
3960,Knockahomer,knockahomer,
3961,Scary Robot,scary robot,
3962,Security Voice,security voice,
3963,Esme Delacroix,esme delacroix,
3964,Boris,boris,
3965,Siren,siren,
3966,Bartleby,bartleby,
3967,Leezakiah,leezakiah,
3968,Temperance,temperance,
3969,Captain Mordecai,captain mordecai,
3970,CYRUS MANLEY,cyrus manley,
3971,Jealousy,jealousy,
3972,Honesty,honesty,
3973,Conscience,conscience,
3974,Libido,libido,
3975,Thomas Pynchon,thomas pynchon,
3976,Springfieldites,springfieldites,
3977,Ashley Olsen,ashley olsen,
3978,Mary-Kate Olsen,mary-kate olsen,
3979,Elderly Librarian,elderly librarian,
3980,MARGARINE OF ARAGON,margarine of aragon,
3981,Court Herald,court herald,
3982,Royal Physician,royal physician,
3983,Prince Bart,prince bart,
3984,Margarine,margarine,
3985,Thomas More,thomas more,
3986,Barrister,barrister,
3987,Anne Boleyn,anne boleyn,
3988,Archbishop Lovejoy,archbishop lovejoy,
3989,Jane Seymour,jane seymour,
3990,Next Wife #2,next wife 2,
3991,Next Wife #3,next wife 3,
3992,Anne of Cleves,anne of cleves,
3993,Advisor Moe,advisor moe,
3994,Chief Homer,chief homer,
3995,Sacagawea,sacagawea,
3996,Charbonneau,charbonneau,
3997,Explorers,explorers,
3998,Mozart,mozart,
3999,Salieri,salieri,
4000,RAINER WOLFCASTLE,rainer wolfcastle,
4001,Fops,fops,
4002,Emperor Joseph II,emperor joseph ii,
4003,Knight Chorus,knight chorus,
4004,Henry VIII,henry viii,male
4005,LADIES IN WAITING CHORUS,ladies in waiting chorus,
4006,Female Soloist,female soloist,
4007,Fop #1,fop 1,
4008,Fop #2,fop 2,
4009,Chancellor Smithers,chancellor smithers,
4010,Beethoven,beethoven,
4011,Crazies,crazies,
4012,Isabel Sanford,isabel sanford,
4013,'70s Announcer,70s announcer,
4014,'Paul Lynde',paul lynde,
4015,'Nadia Comaneci',nadia comaneci,
4016,Lancelot Link,lancelot link,
4017,K.I.T.T.,kitt,
4018,Salem the Cat,salem the cat,
4019,Mr. Ed,mr ed,
4020,Woman Bystander,woman bystander,
4021,SCRATCHY'S FACE,scratchys face,
4022,Indigent Man,indigent man,
4023,'Yesss' Man,yesss man,
4024,Airline Employee,airline employee,
4025,Boy #2,boy 2,
4026,Cap City Boys,cap city boys,
4027,Little Milhouse,little milhouse,
4028,Indigent Woman,indigent woman,
4029,Miss Wickerbottom,miss wickerbottom,
4030,Phonic Frog,phonic frog,
4031,Ticket Vendor,ticket vendor,
4032,Creepy Little Girl,creepy little girl,
4033,Mysterious Noise,mysterious noise,
4034,Sec Agent #1,sec agent 1,
4035,Sec Agent #2,sec agent 2,
4036,Committee Chairwoman,committee chairwoman,
4037,Congressional Committee,congressional committee,
4038,Arties,arties,
4039,Female Ticket Vendor,female ticket vendor,
4040,Human Senator,human senator,
4041,2nd Voice,2nd voice,
4042,Enormous Robot,enormous robot,
4043,Miner Father,miner father,
4044,Jason,jason,
4045,Jim-Jam,jim-jam,
4046,Wise Alien,wise alien,
4047,Geeky Programmer,geeky programmer,
4048,Man In Suit,man in suit,
4049,Vintner,vintner,
4050,RANDALL,randall,
4051,Randall Curtis,randall curtis,
4052,Germans,germans,
4053,Alcoholics,alcoholics,
4054,Kyle,kyle,
4055,Greeter,greeter,
4056,Store Employee,store employee,
4057,Juvies,juvies,
4058,Crowd Of Mice,crowd of mice,
4059,Juvie #1,juvie 1,
4060,Girl Juvies,girl juvies,
4061,Boy Juvie,boy juvie,
4062,Juvie #2,juvie 2,
4063,Juvie Girl,juvie girl,
4064,Female Alien,female alien,
4065,Blacksmith,blacksmith,
4066,Skinner On Plaque,skinner on plaque,
4067,CYBORG SPIDER MRS. SKINNER,cyborg spider mrs skinner,
4068,Wedding Guests,wedding guests,
4069,White Rabbit,white rabbit,
4070,Hulk,hulk,
4071,Klingons,klingons,
4072,PRINCIPAL SKINNER CT,principal skinner ct,
4073,Klingon #1,klingon 1,
4074,Klingon #2,klingon 2,
4075,Convention Freak,convention freak,
4076,Klingon Wedding Minister,klingon wedding minister,
4077,Unrecognizable Simpsons,unrecognizable simpsons,
4078,Uncle Tyrone,uncle tyrone,
4079,Ryan O'Neal,ryan oneal,
4080,Ali McGraw,ali mcgraw,
4081,Miami Passengers,miami passengers,
4082,Fit Man,fit man,
4083,10 Years Younger Homer,10 years younger homer,
4084,10 Years Younger Marge,10 years younger marge,
4085,Female Gate Announcer,female gate announcer,
4086,1st Class Stewardess,1st class stewardess,
4087,Hotel Operator,hotel operator,
4088,Young Wife,young wife,
4089,Young Husband,young husband,
4090,Animal Character,animal character,
4091,Widow #1,widow 1,
4092,Widow #2,widow 2,
4093,Widows,widows,
4094,Attractive Widow,attractive widow,
4095,Raoul,raoul,
4096,American Skipper,american skipper,
4097,Canadian Skipper,canadian skipper,
4098,AMERICAN/CANADIAN SKIPPERS,americancanadian skippers,
4099,Contestant #1,contestant 1,
4100,Contestant #2,contestant 2,
4101,Farmer Billy,farmer billy,
4102,Pig Owner,pig owner,
4103,Salad,salad,
4104,Nichelle Nichols,nichelle nichols,
4105,Pie #1,pie 1,
4106,Pie #2,pie 2,
4107,Simon,simon,male
4108,Girl Scout,girl scout,
4109,Dalai Lama,dalai lama,
4110,10-Year-Old Lenny,10-year-old lenny,
4111,10-Year-Old Carl,10-year-old carl,
4112,T.J.,tj,
4113,Ms. Killebrew,ms killebrew,
4114,TEN-YEAR-OLD MARGE,ten-year-old marge,
4115,Young Helen,young helen,
4116,Homer's Mind,homers mind,
4117,Marge's Mind,marges mind,
4118,Guard On Walkie-talkie,guard on walkie-talkie,
4119,Junkies,junkies,
4120,Barney's Voice,barneys voice,
4121,Managing Editor,managing editor,
4122,Eager Young Reporter,eager young reporter,
4123,GOLF-COURSE EMPLOYEE,golf-course employee,
4124,Other Golfers,other golfers,
4125,Elderly Southern Senator,elderly southern senator,
4126,Other Senators,other senators,
4127,Aide #1,aide 1,
4128,Aide #2,aide 2,
4129,Swat Team Leader,swat team leader,
4130,Detainee #1,detainee 1,
4131,Detainee #3,detainee 3,
4132,U.S. Constitution,us constitution,
4133,Bill O' Rights,bill o rights,
4134,Old Coot,old coot,
4135,Young Guard,young guard,
4136,Immigration Officer,immigration officer,
4137,Girlfriend,girlfriend,
4138,Cartoon Eagle,cartoon eagle,
4139,NVA SGT.,nva sgt,
4140,Alien Boss,alien boss,
4141,Harlot,harlot,
4142,Dr. Bartley,dr bartley,
4143,Cockney Woman,cockney woman,
4144,Peter Pan,peter pan,
4145,Purveyor,purveyor,
4146,Stool,stool,
4147,Mao,mao,
4148,Ebenezer Burns,ebenezer burns,
4149,Addicts,addicts,
4150,Lord Mayor Quimby,lord mayor quimby,
4151,Pleasant Female Voice,pleasant female voice,
4152,Blackula,blackula,
4153,2nd Homer,2nd homer,
4154,Potluckers,potluckers,
4155,Marge's Face,marges face,
4156,Billy Bullion Cube,billy bullion cube,
4157,STUART,stuart,
4158,James Caan,james caan,
4159,Head Judge,head judge,
4160,Twinkle the Kidd,twinkle the kidd,
4161,PRINGLES-TYPE MAN,pringles-type man,
4162,Koobler Dwarf,koobler dwarf,
4163,Food Icons,food icons,
4164,Eight-year-old Girl,eight-year-old girl,
4165,Eight-year-old Girl's Friend,eight-year-old girls friend,
4166,Male Clerk,male clerk,
4167,Reflection,reflection,
4168,Mr. Muntz,mr muntz,
