id,name,normalized_name,gender
548,HOMER (CONT'D,homer contd,
549,Collection Agent,collection agent,
550,Wife,wife,
551,Shoppers,shoppers,
552,Legs,legs,
553,Race Announcer,race announcer,
554,Jack Larson,jack larson,
555,Fbi Agent #1,fbi agent 1,
556,Fbi Agent #2,fbi agent 2,
557,Rival Gang Leader,rival gang leader,
558,Psychic,psychic,
559,Skinner Body,skinner body,
560,Prosecuting Attorney,prosecuting attorney,
561,Joe,joe,
562,Neil,neil,
563,Calm Woman,calm woman,
564,Mr. Devereaux,mr devereaux,
565,Margarita,margarita,
566,Program Voices,program voices,
567,Female Worker,female worker,
568,Male Worker,male worker,
569,Contestant,contestant,
570,Magic Johnson,magic johnson,
571,Aristotle,aristotle,
572,Thought Bubble Barney,thought bubble barney,
573,Female Voice,female voice,
574,SCOTT,scott,
575,Miss Lois Pennycandy,miss lois pennycandy,
576,Sexy Female Recording,sexy female recording,
577,PENNYCANDY,pennycandy,
578,Rabbi #1,rabbi 1,
579,Rowdy Rabbi,rowdy rabbi,
580,Martian,martian,
581,Caller,caller,
582,MONSIGNOR DALEY,monsignor daley,
583,Yiddle,yiddle,
584,Rabbi #2,rabbi 2,
585,Waitress,waitress,
586,Stagehand,stagehand,
587,Airport Announcer,airport announcer,
588,Customs Agent,customs agent,
589,Military Cops,military cops,
590,English Diplomat,english diplomat,
591,Argentine Diplomat,argentine diplomat,
592,Female Office Worker,female office worker,
593,Male Office Worker,male office worker,
594,Townspeople,townspeople,
595,Patrons,patrons,
596,'Vin Scully',vin scully,
597,Kids In Audience,kids in audience,
598,DR MONROE,dr monroe,
599,Crypt Keeper Willie,crypt keeper willie,
600,Robot,robot,
601,Homer-Ape,homer-ape,
602,Little Man,little man,
603,Teenager,teenager,
604,Baby Lisa,baby lisa,
605,Salesclerk,salesclerk,
606,Millicent,millicent,
607,Female Clerk,female clerk,
608,Kevin,kevin,
609,Johnny Carson,johnny carson,
610,Scoey,scoey,
611,Teenage Clerk,teenage clerk,
612,DAVE JR.,dave jr,
613,Official,official,
614,Voice From Trunk,voice from trunk,
615,Ronnie,ronnie,
616,DREDERICK,drederick,
617,Wanda,wanda,
618,Girls,girls,
619,Patron #1,patron 1,
620,Patron #2,patron 2,
621,Collette,collette,
622,HARV,harv,
623,Bernard,bernard,
624,Aerosmith,aerosmith,
625,Steven Tyler,steven tyler,
626,Joe Perry,joe perry,
627,Brad Whitford,brad whitford,
628,Fat Tony,fat tony,male
629,Louie,louie,male
630,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,male
631,Luann Van Houten,luann van houten,female
632,Colonel,colonel,male
633,Football Announcer,football announcer,male
634,Executive,executive,male
635,D.J.,dj,male
636,Becky,becky,female
637,Instructor,instructor,male
638,Aide,aide,male
639,Lunchlady Doris,lunchlady doris,female
640,Everyone,everyone,
641,Bartender,bartender,
